As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,WB Contract Number,Major Sector,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Total Contract Amount (USD),Borrower Contract Reference Number
9/4/2015 9:9,2015,East Asia & Pacific (all income levels),Indonesia  (202.159.57.221),ID,20154999,IP_MAP_REPORT,ICMP Destination Unreachable Communication Administratively Prohibited,Low Priority,INDONET,PT IndoInternet,Unknown,ICMP Destination Unreachable Communication Administratively Prohibited,Unknown,2015/4/9 9:9,VF-Network,Germany  (94.218.167.248),DE,0,-
9/4/2015 9:9,2015,East Asia & Pacific (all income levels),Indonesia  (202.159.57.221),ID,20154999,IP_MAP_REPORT,ICMP Destination Unreachable Communication Administratively Prohibited,Low Priority,INDONET,PT IndoInternet,Unknown,ICMP Destination Unreachable Communication Administratively Prohibited,Unknown,2015/4/9 9:9,Deutsche Telekom AG,Germany  (79.238.149.200),DE,0,-
9/4/2015 9:9,2015,East Asia & Pacific (all income levels),Indonesia  (202.159.57.221),ID,20154999,IP_MAP_REPORT,ICMP Destination Unreachable Communication Administratively Prohibited,Low Priority,INDONET,PT IndoInternet,Unknown,ICMP Destination Unreachable Communication Administratively Prohibited,Unknown,2015/4/9 9:9,VF-Network,Germany  (94.218.167.248),DE,0,-
9/4/2015 9:9,2015,East Asia & Pacific (all income levels),Indonesia  (202.159.127.238),ID,20154999,IP_MAP_REPORT,ICMP Destination Unreachable Communication Administratively Prohibited,Low Priority,INDONET,PT IndoInternet,Unknown,ICMP Destination Unreachable Communication Administratively Prohibited,Unknown,2015/4/9 9:9,Deutsche Telekom AG,Germany  (79.195.12.20),DE,0,-
9/4/2015 9:9,2015,East Asia & Pacific (all income levels),Indonesia  (202.159.57.221),ID,20154999,IP_MAP_REPORT,ICMP Destination Unreachable Communication Administratively Prohibited,Low Priority,INDONET,PT IndoInternet,Unknown,ICMP Destination Unreachable Communication Administratively Prohibited,Unknown,2015/4/9 9:9,Deutsche Telekom AG,Germany  (79.238.149.200),DE,0,-
9/4/2015 9:9,2015,East Asia & Pacific (all income levels),Indonesia  (202.159.57.221),ID,20154999,IP_MAP_REPORT,ICMP Destination Unreachable Communication Administratively Prohibited,Low Priority,INDONET,PT IndoInternet,Unknown,ICMP Destination Unreachable Communication Administratively Prohibited,Unknown,2015/4/9 9:9,VF-Network,Germany  (94.218.167.248),DE,0,-
9/4/2015 9:9,2015,East Asia & Pacific (all income levels),Indonesia  (202.159.127.238),ID,20154999,IP_MAP_REPORT,ICMP Destination Unreachable Communication Administratively Prohibited,Low Priority,INDONET,PT IndoInternet,Unknown,ICMP Destination Unreachable Communication Administratively Prohibited,Unknown,2015/4/9 9:9,Deutsche Telekom AG,Germany  (79.195.12.20),DE,0,-
9/4/2015 9:9,2015,East Asia & Pacific (all income levels),Indonesia  (202.159.127.238),ID,20154999,IP_MAP_REPORT,ICMP Destination Unreachable Communication Administratively Prohibited,Low Priority,INDONET,PT IndoInternet,Unknown,ICMP Destination Unreachable Communication Administratively Prohibited,Unknown,2015/4/9 9:9,Deutsche Telekom AG,Germany  (79.195.12.20),DE,0,-
9/4/2015 9:9,2015,East Asia & Pacific (all income levels),Indonesia  (202.159.57.221),ID,20154999,IP_MAP_REPORT,ICMP Destination Unreachable Communication Administratively Prohibited,Low Priority,INDONET,PT IndoInternet,Unknown,ICMP Destination Unreachable Communication Administratively Prohibited,Unknown,2015/4/9 9:9,Deutsche Telekom AG,Germany  (79.238.149.200),DE,0,-
9/4/2015 9:9,2015,East Asia & Pacific (all income levels),Indonesia  (202.159.57.221),ID,20154999,IP_MAP_REPORT,ICMP Destination Unreachable Communication Administratively Prohibited,Low Priority,INDONET,PT IndoInternet,Unknown,ICMP Destination Unreachable Communication Administratively Prohibited,Unknown,2015/4/9 9:9,Deutsche Telekom AG,Germany  (79.238.149.200),DE,0,-
