            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sen|
 10.252.108.212|    224.0.0.252|63734| 5355| 17|         2|       100|        |2014/12/11T00:02:48.037|    0.411|2014/12/11T00:02:48.448| S1|
 10.252.108.212|    224.0.0.252|51591| 5355| 17|         2|       100|        |2014/12/11T00:02:48.037|    0.411|2014/12/11T00:02:48.448| S1|
 10.252.108.212|    224.0.0.252|60959| 5355| 17|         2|       100|        |2014/12/11T00:12:50.311|    0.413|2014/12/11T00:12:50.724| S1|
 10.252.108.212|    224.0.0.252|62833| 5355| 17|         2|       100|        |2014/12/11T00:12:50.312|    0.412|2014/12/11T00:12:50.724| S1|
  10.252.108.11|    224.0.0.252|53965| 5355| 17|         2|        98|        |2014/12/11T00:16:12.277|    0.095|2014/12/11T00:16:12.372| S1|
  10.252.108.11|    224.0.0.252|60640| 5355| 17|         2|       104|        |2014/12/11T00:16:13.639|    0.092|2014/12/11T00:16:13.731| S1|
  10.252.108.11|    224.0.0.252|58000| 5355| 17|         2|       100|        |2014/12/11T00:16:53.380|    0.091|2014/12/11T00:16:53.471| S1|
  10.252.108.11|    224.0.0.252|60033| 5355| 17|         2|       100|        |2014/12/11T00:16:55.943|    0.096|2014/12/11T00:16:56.039| S1|
 10.252.108.212|    224.0.0.252|53319| 5355| 17|         2|       100|        |2014/12/11T00:22:52.583|    0.411|2014/12/11T00:22:52.994| S1|
 10.252.108.212|    224.0.0.252|60622| 5355| 17|         2|       100|        |2014/12/11T00:22:52.583|    0.411|2014/12/11T00:22:52.994| S1|
 10.252.108.212|    224.0.0.252|63734| 5355| 17|         2|       100|        |2014/12/11T00:02:48.033|    0.411|2014/12/11T00:02:48.444| S2|
 10.252.108.212|    224.0.0.252|51591| 5355| 17|         2|       100|        |2014/12/11T00:02:48.033|    0.411|2014/12/11T00:02:48.444| S2|
 10.252.108.212|    224.0.0.252|60959| 5355| 17|         2|       100|        |2014/12/11T00:12:50.307|    0.414|2014/12/11T00:12:50.721| S2|
 10.252.108.212|    224.0.0.252|62833| 5355| 17|         2|       100|        |2014/12/11T00:12:50.308|    0.413|2014/12/11T00:12:50.721| S2|
  10.252.108.11|    224.0.0.252|53965| 5355| 17|         2|        98|        |2014/12/11T00:16:12.273|    0.095|2014/12/11T00:16:12.368| S2|
  10.252.108.11|    224.0.0.252|60640| 5355| 17|         2|       104|        |2014/12/11T00:16:13.635|    0.093|2014/12/11T00:16:13.728| S2|
  10.252.108.11|    224.0.0.252|58000| 5355| 17|         2|       100|        |2014/12/11T00:16:53.376|    0.091|2014/12/11T00:16:53.467| S2|
  10.252.108.11|    224.0.0.252|60033| 5355| 17|         2|       100|        |2014/12/11T00:16:55.939|    0.096|2014/12/11T00:16:56.035| S2|
 10.252.108.212|    224.0.0.252|53319| 5355| 17|         2|       100|        |2014/12/11T00:22:52.579|    0.411|2014/12/11T00:22:52.990| S2|
 10.252.108.212|    224.0.0.252|60622| 5355| 17|         2|       100|        |2014/12/11T00:22:52.579|    0.411|2014/12/11T00:22:52.990| S2|
