            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sen|
 10.252.108.212|    224.0.0.252|60587| 5355| 17|         2|       100|        |2014/12/12T00:26:05.724|    0.411|2014/12/12T00:26:06.135| S1|
 10.252.108.212|    224.0.0.252|58363| 5355| 17|         2|       100|        |2014/12/12T00:26:05.724|    0.411|2014/12/12T00:26:06.135| S1|
 10.252.108.212|    224.0.0.252|56762| 5355| 17|         2|       100|        |2014/12/12T00:50:23.946|    0.411|2014/12/12T00:50:24.357| S1|
 10.252.108.212|    224.0.0.252|62546| 5355| 17|         2|       100|        |2014/12/12T00:50:23.947|    0.410|2014/12/12T00:50:24.357| S1|
 10.252.108.212|    224.0.0.252|61913| 5355| 17|         2|       100|        |2014/12/12T00:36:07.994|    0.410|2014/12/12T00:36:08.404| S1|
 10.252.108.212|    224.0.0.252|58728| 5355| 17|         2|       100|        |2014/12/12T00:36:07.994|    0.410|2014/12/12T00:36:08.404| S1|
 10.252.108.212|    224.0.0.252|55302| 5355| 17|         2|       100|        |2014/12/12T00:06:01.187|    0.411|2014/12/12T00:06:01.598| S1|
 10.252.108.212|    224.0.0.252|59766| 5355| 17|         2|       100|        |2014/12/12T00:06:01.187|    0.411|2014/12/12T00:06:01.598| S1|
 10.252.108.212|      224.0.0.2|    0|    0|  2|         2|        56|        |2014/12/12T00:37:08.531|   35.819|2014/12/12T00:37:44.350| S1|
 10.252.108.212|    224.0.0.252|54078| 5355| 17|         2|       104|        |2014/12/12T00:44:02.539|    0.411|2014/12/12T00:44:02.950| S1|
 10.252.108.212|    224.0.0.252|53890| 5355| 17|         2|       100|        |2014/12/12T00:46:10.268|    0.410|2014/12/12T00:46:10.678| S1|
 10.252.108.212|    224.0.0.252|59514| 5355| 17|         2|       100|        |2014/12/12T00:46:10.268|    0.410|2014/12/12T00:46:10.678| S1|
 10.252.108.212|    224.0.0.252|53574| 5355| 17|         2|       100|        |2014/12/12T00:16:03.454|    0.411|2014/12/12T00:16:03.865| S1|
 10.252.108.212|    224.0.0.252|61770| 5355| 17|         2|       100|        |2014/12/12T00:16:03.454|    0.411|2014/12/12T00:16:03.865| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T00:26:05.723|    1.504|2014/12/12T00:26:07.227| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T00:26:50.641|  267.432|2014/12/12T00:31:18.073| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|        13|      1014|        |2014/12/12T00:36:07.993|  857.453|2014/12/12T00:50:25.446| S1|
