            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|   sensor|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:05:49.510|    0.000|2015/06/12T07:05:49.510|sensor-17|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:17:51.047|    0.000|2015/06/12T07:17:51.047|sensor-17|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:29:58.940|    0.000|2015/06/12T07:29:58.940|sensor-17|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:42:01.879|    0.000|2015/06/12T07:42:01.879|sensor-17|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:54:01.600|    0.000|2015/06/12T07:54:01.600|sensor-17|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:05:49.512|    0.000|2015/06/12T07:05:49.512|sensor-18|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:17:51.048|    0.000|2015/06/12T07:17:51.048|sensor-18|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:29:58.941|    0.000|2015/06/12T07:29:58.941|sensor-18|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:42:01.880|    0.000|2015/06/12T07:42:01.880|sensor-18|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:54:01.601|    0.000|2015/06/12T07:54:01.601|sensor-18|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:05:50.183|    0.000|2015/06/12T07:05:50.183|sensor-19|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:17:51.719|    0.000|2015/06/12T07:17:51.719|sensor-19|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:29:59.612|    0.000|2015/06/12T07:29:59.612|sensor-19|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:42:02.552|    0.000|2015/06/12T07:42:02.552|sensor-19|
  10.252.108.90| 10.252.108.255|  138|  138| 17|         2|       479|        |2015/06/12T07:54:02.272|    0.000|2015/06/12T07:54:02.272|sensor-19|
